Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923
 R   1 G 312    140    123.902      5.416		0.28394784444313337 | 0.019208819079435953

 R   1 G 313    142    123.816      5.006		0.3239478444431334 | 0.03920881907943596

 R   1 G 314    142      123.7      5.425		0.02517965964503765 | 0.02360256997483811

 R   1 G 315    142    123.466      5.466		0.3239478444431334 | 0.03920881907943596

 R   1 G 316    142    123.758      5.475		0.2939478444431334 | 0.05920881907943596

 R   1 G 317    142    123.566      5.181		0.28394784444313337 | 0.019208819079435953

 R   1 G 318    150     123.66      5.364		0.2939478444431334 | 0.05920881907943596

 R   1 G 319    140    123.756       5.13		0.3139478444431334 | 0.03920881907943596

 R   1 G 320    144    123.428      5.509		0.02517965964503765 | 0.02360256997483811

 R   1 G 321    142    123.578      5.743		0.28394784444313337 | 0.029208819079435955

 R   1 G 322    140    123.512      5.355		0.2939478444431334 | 0.019208819079435953

 R   1 G 323    140    123.268      5.442		0.28394784444313337 | 0.019208819079435953

 R   1 G 324    142    123.564      5.479		0.2939478444431334 | 0.04920881907943596

 R   1 G 325    142    123.774      5.515		0.28394784444313337 | 0.019208819079435953

 R   1 G 326    150    123.526      5.536		0.28394784444313337 | 0.03920881907943596

 R   1 G 327    138    123.682      5.365		0.02517965964503765 | 0.03360256997483811

 R   1 G 328    142    123.742      5.517		0.3139478444431334 | 0.03920881907943596

 R   1 G 329    144    123.806      5.657		0.3439478444431334 | 0.03920881907943596

 R   1 G 330    140    123.668      5.556		0.28394784444313337 | 0.019208819079435953

 R   1 G 331    140    123.442      5.696		0.28394784444313337 | 0.019208819079435953

 R   1 G 332    144    123.858      5.622		0.28394784444313337 | 0.019208819079435953

 R   1 G 333    144     123.78       5.67		0.28394784444313337 | 0.019208819079435953

 R   1 G 334    140     123.59      5.644		0.3439478444431334 | 0.03920881907943596

 R   1 G 335    142    123.804      5.685		0.28394784444313337 | 0.019208819079435953

 R   1 G 336    144     123.56      5.578		0.2939478444431334 | 0.05920881907943596

 R   1 G 337    144    123.534      5.435		0.3239478444431334 | 0.03920881907943596

 R   1 G 338    140    123.564      5.435		0.2939478444431334 | 0.05920881907943596

 R   1 G 339    144    123.908      5.438		0.2939478444431334 | 0.05920881907943596

 R   1 G 340    144     123.86      5.645		0.2939478444431334 | 0.019208819079435953

 R   1 G 341    144    123.804      5.338		0.2939478444431334 | 0.05920881907943596

 R   1 G 342    140    123.606      5.411		0.02517965964503765 | 0.03360256997483811

 R   1 G 343    140     123.56      5.339		0.3239478444431334 | 0.03920881907943596

 R   1 G 344    138    123.724      5.405		0.3239478444431334 | 0.03920881907943596

 R   1 G 345    140    123.916       5.35		0.2939478444431334 | 0.05920881907943596

 R   1 G 346    146     123.43      5.288		0.2939478444431334 | 0.019208819079435953

 R   1 G 347    144    123.716      5.393		0.2939478444431334 | 0.05920881907943596

 R   1 G 348    146    123.458      5.587		0.2939478444431334 | 0.019208819079435953

 R   1 G 349    142    123.462      5.554		0.2939478444431334 | 0.019208819079435953

 R   1 G 350    142    123.896      5.479		0.27394784444313336 | 0.009208819079435953

 R   1 G 351    144     123.56      5.484		0.28394784444313337 | 0.019208819079435953

 R   1 G 352    142    124.126      5.533		0.2939478444431334 | 0.05920881907943596

 R   1 G 353    146    123.466       5.56		0.27394784444313336 | 0.03920881907943596

 R   1 G 354    140    123.526      5.391		0.27394784444313336 | 0.03920881907943596

 R   1 G 355    140    123.416      5.389		0.2939478444431334 | 0.05920881907943596

 R   1 G 356    146    123.708      5.589		0.27394784444313336 | 0.009208819079435953

 R   1 G 357    146    123.866      5.525		0.28394784444313337 | 0.019208819079435953

 R   1 G 358    140    123.636      5.275		0.2939478444431334 | 0.019208819079435953

 R   1 G 359    142    123.688      5.317		0.28394784444313337 | 0.029208819079435955

 R   1 G 360    144    123.944      5.254		0.2939478444431334 | 0.019208819079435953

 R   1 G 361    138    123.654      5.385		0.2939478444431334 | 0.019208819079435953

 R   1 G 362    140    123.914      5.307		0.2939478444431334 | 0.05920881907943596

 R   1 G 363    142     123.94      5.415		0.28394784444313337 | 0.029208819079435955

 R   1 G 364    144    123.838      5.288		0.2939478444431334 | 0.019208819079435953

 R   1 G 365    144    123.608      5.361		0.2939478444431334 | 0.019208819079435953

 R   1 G 366    142     123.59      5.077		0.28394784444313337 | 0.019208819079435953

 R   1 G 367    142    123.444      5.508		0.26394784444313335 | 0.04920881907943596

 R   1 G 368    142    123.588      5.441		0.3039478444431334 | 0.019208819079435953

 R   1 G 369    140    123.744      5.251		0.28394784444313337 | 0.019208819079435953

 R   1 G 370    140    123.846      5.424		0.28394784444313337 | 0.019208819079435953

 R   1 G 371    140    123.836       5.37		0.28394784444313337 | 0.019208819079435953

 R   1 G 372    144    123.798      5.255		0.2939478444431334 | 0.019208819079435953

 R   1 G 373    142    123.616      5.518		0.28394784444313337 | 0.009208819079435953

 R   1 G 374    144     123.43      5.599		0.28394784444313337 | 0.019208819079435953

 R   1 G 375    142    124.192      5.286		0.2939478444431334 | 0.05920881907943596

 R   1 G 376    140    123.914      5.377		0.28394784444313337 | 0.029208819079435955

 R   1 G 377    140    123.874       5.62		0.2939478444431334 | 0.019208819079435953

 R   1 G 378    142     124.13      5.454		0.3039478444431334 | 0.019208819079435953

 R   1 G 379    142    123.618      5.197		0.2939478444431334 | 0.05920881907943596

 R   1 G 380    144    123.538      5.487		0.2939478444431334 | 0.029208819079435955

 R   1 G 381    142    123.662       5.27		0.2939478444431334 | 0.019208819079435953

 R   1 G 382    140    123.934       5.38		0.28394784444313337 | 0.019208819079435953

 R   1 G 383    144     123.37      5.568		0.3039478444431334 | 0.019208819079435953

 R   1 G 384    142     123.46       5.43		0.28394784444313337 | 0.019208819079435953

 R   1 G 385    142     123.54      5.596		0.28394784444313337 | 0.019208819079435953

 R   1 G 386    146    123.564      5.476		0.28394784444313337 | 0.019208819079435953

 R   1 G 387    148    123.432       5.58		0.28394784444313337 | 0.019208819079435953

 R   1 G 388    138    123.678      5.371		0.2939478444431334 | 0.029208819079435955

 R   1 G 389    142    123.442      5.487		0.3039478444431334 | 0.019208819079435953

 R   1 G 390    140     123.83      5.773		0.3039478444431334 | 0.009208819079435953

 R   1 G 391    144    124.088      5.392		0.3039478444431334 | 0.029208819079435955

 R   1 G 392    142    123.514      5.498		0.2939478444431334 | 0.019208819079435953

 R   1 G 393    142     123.83      5.469		0.3039478444431334 | 0.019208819079435953

 R   1 G 394    144    123.398      5.651		0.27394784444313336 | 0.019208819079435953

 R   1 G 395    142    123.578      5.614		0.2939478444431334 | 0.019208819079435953

 R   1 G 396    144    123.672       5.64		0.2939478444431334 | 0.029208819079435955

 R   1 G 397    144    124.102      5.576		0.28394784444313337 | 0.019208819079435953

 R   1 G 398    148    123.498      5.524		0.28394784444313337 | 0.019208819079435953

 R   1 G 399    144    123.638      5.312		0.3139478444431334 | 0.029208819079435955

 R   1 G 400    142    123.746      5.409		0.2939478444431334 | 0.019208819079435953

 R   1 G 401    144    123.586      5.342		0.02517965964503765 | 0.02360256997483811

 R   1 G 402    148    124.168      5.393		0.3039478444431334 | 0.029208819079435955

 R   1 G 403    142    123.556      5.413		0.3039478444431334 | 0.029208819079435955

 R   1 G 404    142    123.844      5.343		0.3039478444431334 | 0.019208819079435953

 R   1 G 405    146    124.012      5.331		0.3039478444431334 | 0.019208819079435953

 R   1 G 406    144    123.756      5.291		0.02517965964503765 | 0.02360256997483811

 R   1 G 407    144     124.11      5.492		0.2939478444431334 | 0.019208819079435953

 R   1 G 408    142     123.61      5.209		0.2939478444431334 | 0.019208819079435953

 R   1 G 409    138    123.802      5.341		0.28394784444313337 | 0.009208819079435953

 R   1 G 410    140     123.69      5.277		0.3139478444431334 | 0.019208819079435953

 R   1 G 411    146    123.652      5.476		0.28394784444313337 | 0.029208819079435955

 R   1 G 412    140    123.938      5.333		0.3039478444431334 | 0.029208819079435955

 R   1 G 413    146    124.006      5.372		0.3039478444431334 | 0.019208819079435953

 R   1 G 414    140    123.486      5.326		0.3039478444431334 | 0.029208819079435955

 R   1 G 415    142    123.478      5.466		0.28394784444313337 | 0.019208819079435953

 R   1 G 416    140    123.658      5.341		0.3039478444431334 | 0.019208819079435953

 R   1 G 417    144     123.79      5.318		0.3039478444431334 | 0.029208819079435955

 R   1 G 418    140    123.784      5.369		0.28394784444313337 | 0.029208819079435955

 R   1 G 419    140    123.544       5.66		0.28394784444313337 | 0.019208819079435953

 R   1 G 420    142     123.77      5.752		0.28394784444313337 | 0.019208819079435953

 R   1 G 421    142    123.932      5.732		0.27394784444313336 | 0.019208819079435953

 R   1 G 422    142    124.092      5.534		0.28394784444313337 | 0.019208819079435953

 R   1 G 423    148    123.578      5.604		0.28394784444313337 | 0.019208819079435953

 R   1 G 424    140    123.644      5.718		0.28394784444313337 | 0.019208819079435953

 R   1 G 425    140    123.852      5.543		0.2939478444431334 | 0.019208819079435953

 R   1 G 426    146    123.782       5.65		0.3039478444431334 | 0.009208819079435953

 R   1 G 427    140    123.454      5.594		0.3039478444431334 | 0.019208819079435953

 R   1 G 428    144      123.7      5.839		0.2939478444431334 | 0.019208819079435953

 R   1 G 429    142    123.478      5.649		0.2939478444431334 | 0.019208819079435953

 R   1 G 430    140     123.85      5.697		0.03517965964503765 | 0.02360256997483811

 R   1 G 431    140    123.814      5.517		0.3039478444431334 | 0.019208819079435953

 R   1 G 432    144      123.5       5.76		0.3039478444431334 | 0.019208819079435953

 R   1 G 433    148    123.546      5.462		0.2939478444431334 | 0.019208819079435953

 R   1 G 434    144    123.434      5.818		0.2939478444431334 | 0.019208819079435953

 R   1 G 435    144     123.58      5.533		0.27394784444313336 | 0.019208819079435953

 R   1 G 436    144    123.764      5.609		0.28394784444313337 | 0.029208819079435955

 R   1 G 437    144    124.118       5.66		0.27394784444313336 | 0.019208819079435953

 R   1 G 438    144    124.116      5.793		0.3139478444431334 | 0.019208819079435953

 R   1 G 439    140    123.182      5.689		0.3039478444431334 | 0.019208819079435953

 R   1 G 440    142    123.774      5.706		0.28394784444313337 | 0.019208819079435953

 R   1 G 441    142    123.534      5.591		0.3039478444431334 | 0.019208819079435953

 R   1 G 442    140    123.606      5.767		0.3039478444431334 | 0.019208819079435953

 R   1 G 443    144    123.482      5.609		0.28394784444313337 | 0.029208819079435955

 R   1 G 444    140    123.416       5.67		0.3139478444431334 | 0.019208819079435953

 R   1 G 445    146    124.034      5.778		0.3039478444431334 | 0.029208819079435955

 R   1 G 446    144    123.674      5.768		0.3039478444431334 | 0.019208819079435953

 R   1 G 447    146    123.468       5.55		0.3039478444431334 | 0.029208819079435955

 R   1 G 448    142     123.43      5.643		0.3039478444431334 | 0.019208819079435953

 R   1 G 449    142    123.826      5.692		0.3139478444431334 | 0.019208819079435953

 R   1 G 450    142    123.736      5.407		0.3139478444431334 | 0.019208819079435953

 R   1 G 451    142    123.516      5.534		0.3139478444431334 | 0.019208819079435953

 R   1 G 452    144     123.55      5.492		0.3039478444431334 | 0.019208819079435953

 R   1 G 453    140     123.47      5.632		0.2939478444431334 | 0.029208819079435955

 R   1 G 454    142     123.71      5.889		0.2939478444431334 | 0.019208819079435953

 R   1 G 455    140    123.106       5.42		0.26394784444313335 | 0.029208819079435955

 R   1 G 456    142    123.772      5.551		0.3039478444431334 | 0.029208819079435955

 R   1 G 457    144     123.51      5.585		0.3139478444431334 | 0.019208819079435953

 R   1 G 458    142    123.528      5.604		0.27394784444313336 | 0.019208819079435953

 R   1 G 459    140    123.682      5.581		0.3239478444431334 | 0.019208819079435953

 R   1 G 460    142    123.614      5.309		0.3139478444431334 | 0.019208819079435953

 R   1 G 461    142    123.274      5.486		0.2939478444431334 | 0.019208819079435953

 R   1 G 462    144    123.866      5.335		0.3039478444431334 | 0.019208819079435953

 R   1 G 463    142    123.576      5.455		0.3239478444431334 | 0.019208819079435953

 R   1 G 464    144    123.658      5.686		0.3139478444431334 | 0.019208819079435953

 R   1 G 465    144    123.708       5.51		0.3039478444431334 | 0.019208819079435953

 R   1 G 466    142    123.796      5.475		0.3239478444431334 | 0.009208819079435953

 R   1 G 467    144    123.664      5.763		0.3239478444431334 | 0.019208819079435953

 R   1 G 468    140     123.72      5.438		0.27394784444313336 | 0.019208819079435953

 R   1 G 469    142    123.364      5.541		0.2939478444431334 | 0.019208819079435953

 R   1 G 470    142    123.664      5.752		0.2939478444431334 | 0.019208819079435953

 R   1 G 471    142    123.506      5.618		0.27394784444313336 | 0.019208819079435953

 R   1 G 472    142    123.406      5.404		0.3239478444431334 | 0.009208819079435953

 R   1 G 473    142    123.726        5.6		0.3039478444431334 | 0.019208819079435953

 R   1 G 474    140    123.574      5.578		0.3039478444431334 | 0.019208819079435953

 R   1 G 475    140    123.514      5.445		0.3039478444431334 | 0.029208819079435955

 R   1 G 476    142    123.812      5.518		0.3039478444431334 | 0.019208819079435953

 R   1 G 477    144      123.4      5.608		0.3239478444431334 | 0.019208819079435953

 R   1 G 478    140    123.812      5.536		0.3239478444431334 | 0.009208819079435953

 R   1 G 479    142    123.744      5.677		0.3039478444431334 | 0.019208819079435953

 R   1 G 480    142    123.556      5.568		0.26394784444313335 | 0.029208819079435955

 R   1 G 481    140    123.976      5.513		0.3039478444431334 | 0.019208819079435953

 R   1 G 482    142    123.782      5.679		0.3139478444431334 | 0.029208819079435955

 R   1 G 483    150    123.636      5.805		0.3039478444431334 | 0.019208819079435953

 R   1 G 484    142    123.888      5.559		0.3139478444431334 | 0.019208819079435953

 R   1 G 485    142    123.656      5.763		0.3339478444431334 | 0.009208819079435953

 R   1 G 486    140    123.612      5.484		0.3239478444431334 | 0.019208819079435953

 R   1 G 487    140    123.638      5.684		0.3339478444431334 | 0.009208819079435953

 R   1 G 488    142    123.878       5.62		0.3039478444431334 | 0.019208819079435953

 R   1 G 489    142    123.612      5.659		0.3239478444431334 | 0.019208819079435953

 R   1 G 490    146    123.388      5.923		0.3139478444431334 | 0.029208819079435955

 R   1 G 491    146    123.576      6.118		0.3039478444431334 | 0.019208819079435953

 R   1 G 492    142    123.728       5.76		0.3039478444431334 | 0.019208819079435953

 R   1 G 493    144     123.82      5.815		0.3039478444431334 | 0.019208819079435953

 R   1 G 494    144    123.458      5.943		0.3039478444431334 | 0.019208819079435953

 R   1 G 495    142    123.538      5.897		0.3039478444431334 | 0.029208819079435955

 R   1 G 496    140    123.702      5.689		0.3039478444431334 | 0.019208819079435953

 R   1 G 497    142    123.634      5.874		0.3039478444431334 | 0.019208819079435953

 R   1 G 498    142    123.362      5.564		0.3139478444431334 | 0.029208819079435955

 R   1 G 499    142    123.746      5.768		0.3039478444431334 | 0.019208819079435953

1     49###################### RawFitness
           0          0          154

 R   2 G   0    150     119.62      8.095		0.3219914818243108 | 0.9026374324415324

 R   2 G   1    142    119.688      7.885		0.2546880764771444 | 0.7984696305726856

 R   2 G   2    144     120.56      7.627		0.45360313477342185 | 0.16286469301136663

 R   2 G   3    146    120.924      7.358		0.41784202945803317 | 0.7189488016084591

 R   2 G   4    152    121.716       7.23		0.45360313477342185 | 0.16286469301136663

 R   2 G   5    140    121.534      6.532		0.34401375270245504 | 0.36691074517996525

 R   2 G   6    142    121.888      6.631		0.5635382678496212 | 0.18006777184871847

 R   2 G   7    144     121.63      6.752		0.3735419289162335 | 0.3352156642277502

 R   2 G   8    140    122.538      6.485		0.106174839388823 | 0.36609954082221874

 R   2 G   9    140    122.312      6.454		0.7277776516807023 | 0.4716440754569846

 R   2 G  10    142    122.674      6.244		0.021106765325874965 | 0.197095026188289

 R   2 G  11    146    122.746      6.481		0.44698819691941183 | 0.1973898251849624

 R   2 G  12    144    123.208      5.783		0.40421777268495507 | 0.11944893799335554

 R   2 G  13    140    123.018      5.992		0.34401375270245504 | 0.35691074517996524

 R   2 G  14    148    123.288      5.788		0.40421777268495507 | 0.11944893799335554

 R   2 G  15    140    123.254      5.708		0.6596700196231213 | 0.18631612066281522

 R   2 G  16    144    122.982      5.617		0.40421777268495507 | 0.11944893799335554

 R   2 G  17    140     123.16      5.561		0.44360313477342184 | 0.16286469301136663

 R   2 G  18    142     123.57      5.648		0.39421777268495506 | 0.11944893799335554

 R   2 G  19    142     123.34      5.524		0.07436858962770443 | 0.08288789711310908

 R   2 G  20    140    123.692      5.581		0.07436858962770443 | 0.08288789711310908

 R   2 G  21    142    123.558      5.624		0.08436858962770442 | 0.08288789711310908

 R   2 G  22    144    123.468      5.512		0.44360313477342184 | 0.16286469301136663

 R   2 G  23    140    123.728      5.202		0.40421777268495507 | 0.11944893799335554
