Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  1000
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    152    119.456      8.013		0.34814231536637574 | 0.7826229507853923
 R   1 G 272    144    123.674      5.323		0.3139478444431334 | 0.03920881907943596

 R   1 G 273    140     123.89      5.308		0.3339478444431334 | 0.03920881907943596

 R   1 G 274    142    123.588      5.211		0.3439478444431334 | 0.029208819079435955

 R   1 G 275    140      123.5      5.172		0.3439478444431334 | 0.029208819079435955

 R   1 G 276    142    123.698       5.37		0.2939478444431334 | 0.03920881907943596

 R   1 G 277    142    123.636      5.322		0.3339478444431334 | 0.03920881907943596

 R   1 G 278    140    123.808      5.349		0.3139478444431334 | 0.03920881907943596

 R   1 G 279    146     123.67      5.252		0.3139478444431334 | 0.03920881907943596

 R   1 G 280    140    123.852      5.478		0.3239478444431334 | 0.019208819079435953

 R   1 G 281    138    123.568      5.223		0.3339478444431334 | 0.03920881907943596

 R   1 G 282    144    123.732       5.37		0.3139478444431334 | 0.03920881907943596

 R   1 G 283    142    123.652       5.53		0.2939478444431334 | 0.03920881907943596

 R   1 G 284    144     123.76      5.411		0.2939478444431334 | 0.03920881907943596

 R   1 G 285    142    123.234      5.324		0.2939478444431334 | 0.03920881907943596

 R   1 G 286    140    123.868      5.478		0.2939478444431334 | 0.03920881907943596

 R   1 G 287    140     123.69      5.358		0.3139478444431334 | 0.04920881907943596

 R   1 G 288    142    123.162      5.603		0.2939478444431334 | 0.03920881907943596

 R   1 G 289    140    123.466      5.623		0.3139478444431334 | 0.03920881907943596

 R   1 G 290    144    123.728      5.629		0.2939478444431334 | 0.03920881907943596

 R   1 G 291    144     123.64      5.836		0.3139478444431334 | 0.03920881907943596

 R   1 G 292    144    124.102      5.556		0.2939478444431334 | 0.04920881907943596

 R   1 G 293    146     123.81      5.691		0.3139478444431334 | 0.03920881907943596

 R   1 G 294    144    123.552      5.815		0.3239478444431334 | 0.03920881907943596

 R   1 G 295    144    123.434      5.803		0.3239478444431334 | 0.04920881907943596

 R   1 G 296    144    123.634      5.619		0.3339478444431334 | 0.03920881907943596

 R   1 G 297    142    123.424      5.858		0.3139478444431334 | 0.029208819079435955

 R   1 G 298    144    123.526      5.628		0.3139478444431334 | 0.03920881907943596

 R   1 G 299    146    123.346      5.519		0.3339478444431334 | 0.03920881907943596

 R   1 G 300    142     123.61      5.493		0.2939478444431334 | 0.03920881907943596

 R   1 G 301    142    123.846      5.517		0.3139478444431334 | 0.04920881907943596

 R   1 G 302    138     123.42      5.362		0.2939478444431334 | 0.03920881907943596

 R   1 G 303    142    123.568      5.704		0.015179659645037648 | 0.02360256997483811

 R   1 G 304    142    123.528      5.634		0.02517965964503765 | 0.02360256997483811

 R   1 G 305    148    123.612      5.557		0.3139478444431334 | 0.03920881907943596

 R   1 G 306    144    123.526      5.685		0.2939478444431334 | 0.04920881907943596

 R   1 G 307    142    123.862      5.655		0.3439478444431334 | 0.03920881907943596

 R   1 G 308    142    123.714      5.178		0.2939478444431334 | 0.04920881907943596

 R   1 G 309    142     123.68      5.552		0.3439478444431334 | 0.03920881907943596

 R   1 G 310    142    123.594      5.416		0.2939478444431334 | 0.04920881907943596

 R   1 G 311    142    123.246      5.417		0.28394784444313337 | 0.019208819079435953

