Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  50
Generations per Run          :  500
Population Size              :  500
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  5
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    235    201.184     12.486		0.852347974194435 | 0.06606604248548009

 R   1 G 334    231    220.752      3.648		0.99 | 0.005625362030093813

 R   1 G 335    229     220.76      3.616		0.99 | 0.005625362030093813

 R   1 G 336    229     220.38      4.007		0.997901979620712 | 0.005625362030093813

 R   1 G 337    229    220.796       3.57		0.997901979620712 | 0.005625362030093813

 R   1 G 338    229    220.312      3.827		0.997901979620712 | 0.005625362030093813

 R   1 G 339    231    220.804      3.599		0.987901979620712 | 0.005625362030093813

 R   1 G 340    229     220.52      3.673		0.99 | 0.005625362030093813

 R   1 G 341    231    221.044      3.427		0.997901979620712 | 0.005625362030093813

 R   1 G 342    229    220.916      3.608		0.997901979620712 | 0.0

 R   1 G 343    229    220.588      3.554		0.997901979620712 | 0.0

 R   1 G 344    229     220.48      3.615		0.99 | 0.005625362030093813

 R   1 G 345    229     220.78      3.701		0.99 | 0.005625362030093813

 R   1 G 346    231    220.476      3.903		0.997901979620712 | 0.005625362030093813

 R   1 G 347    229    220.844      3.652		0.99 | 0.005625362030093813

 R   1 G 348    229    220.916       3.53		0.997901979620712 | 0.005625362030093813

 R   1 G 349    231     220.52      3.812		0.99 | 0.005625362030093813

 R   1 G 350    229    221.012      3.873		0.99 | 0.005625362030093813

 R   1 G 351    231    220.792       3.72		0.99 | 0.005625362030093813

 R   1 G 352    231    220.312      3.791		0.99 | 0.005625362030093813

 R   1 G 353    229    220.512      3.909		0.997901979620712 | 0.005625362030093813

 R   1 G 354    229    220.504      3.732		0.997901979620712 | 0.005625362030093813

 R   1 G 355    231    220.516       3.61		0.98 | 0.005625362030093813

 R   1 G 356    231    220.784      3.741		0.99 | 0.005625362030093813

 R   1 G 357    229    220.844      3.637		0.997901979620712 | 0.005625362030093813

 R   1 G 358    231    220.288      3.733		0.98 | 0.005625362030093813

 R   1 G 359    231    220.504      3.825		0.99 | 0.005625362030093813

 R   1 G 360    229    220.564      3.671		1.0 | 0.005625362030093813

 R   1 G 361    229    220.356      3.951		0.98 | 0.005625362030093813

 R   1 G 362    229    220.244      4.091		0.99 | 0.005625362030093813

 R   1 G 363    231    220.632      3.729		0.99 | 0.005625362030093813

 R   1 G 364    229    220.444      3.901		0.997901979620712 | 0.005625362030093813

 R   1 G 365    233     220.56      4.346		0.98 | 0.005625362030093813

 R   1 G 366    229    220.392       4.04		1.0 | 0.015625362030093813

 R   1 G 367    231    220.372      3.865		0.98 | 0.005625362030093813

 R   1 G 368    229    220.552       3.92		0.99 | 0.005625362030093813

 R   1 G 369    229    220.588      3.857		0.997901979620712 | 0.005625362030093813

 R   1 G 370    229    220.444      3.748		1.0 | 0.005625362030093813

 R   1 G 371    231    220.832      3.283		0.98 | 0.005625362030093813

 R   1 G 372    229    220.656       3.74		1.0 | 0.005625362030093813

 R   1 G 373    229    220.564       3.73		0.98 | 0.005625362030093813

 R   1 G 374    229    220.428      3.689		0.99 | 0.005625362030093813

 R   1 G 375    231    220.724      3.402		0.98 | 0.005625362030093813

 R   1 G 376    229    220.632      3.761		0.98 | 0.005625362030093813

 R   1 G 377    229     220.58      3.519		0.99 | 0.005625362030093813

 R   1 G 378    229    220.792       3.48		1.0 | 0.0

 R   1 G 379    229     220.88      3.606		1.0 | 0.0

 R   1 G 380    231    220.708       3.48		0.98 | 0.0

 R   1 G 381    231    220.532      3.188		0.997901979620712 | 0.005625362030093813

 R   1 G 382    231    220.784      3.302		0.99 | 0.005625362030093813

 R   1 G 383    229     220.88      3.419		1.0 | 0.005625362030093813

 R   1 G 384    229     220.88      3.324		1.0 | 0.005625362030093813

 R   1 G 385    229      220.9      3.612		1.0 | 0.0

 R   1 G 386    229    220.824      3.482		1.0 | 0.0

 R   1 G 387    229    220.832      3.324		0.977901979620712 | 0.005625362030093813

 R   1 G 388    229    220.668      3.766		1.0 | 0.005625362030093813

 R   1 G 389    229     220.72      3.546		1.0 | 0.0

 R   1 G 390    229    220.744      3.458		1.0 | 0.0

 R   1 G 391    229    220.632      3.706		1.0 | 0.0

 R   1 G 392    229      220.8      3.471		1.0 | 0.005625362030093813

 R   1 G 393    231    220.852      3.341		0.99 | 0.005625362030093813

 R   1 G 394    229    220.508      3.468		0.98 | 0.005625362030093813

 R   1 G 395    229    220.616      3.289		1.0 | 0.005625362030093813

 R   1 G 396    229    220.636      3.351		1.0 | 0.005625362030093813

 R   1 G 397    229    220.644      3.627		1.0 | 0.0

 R   1 G 398    229    220.808      3.587		1.0 | 0.005625362030093813

 R   1 G 399    229     220.88      3.431		0.99 | 0.0

 R   1 G 400    229     220.84      3.562		1.0 | 0.0

 R   1 G 401    229     220.68      3.667		1.0 | 0.0

 R   1 G 402    229     220.64      3.529		1.0 | 0.005625362030093813

 R   1 G 403    231    220.784      3.186		0.997901979620712 | 0.015625362030093813

 R   1 G 404    229    220.876      3.494		0.99 | 0.005625362030093813

 R   1 G 405    229    220.808      3.467		1.0 | 0.005625362030093813

 R   1 G 406    229    220.912      3.429		0.997901979620712 | 0.005625362030093813

 R   1 G 407    229    220.884      3.354		1.0 | 0.005625362030093813

 R   1 G 408    229     220.78      3.237		0.99 | 0.005625362030093813

 R   1 G 409    229    220.428      3.577		0.997901979620712 | 0.005625362030093813

 R   1 G 410    231    220.932      3.586		0.99 | 0.005625362030093813

 R   1 G 411    229    220.684       3.45		0.99 | 0.005625362030093813

 R   1 G 412    229     221.04      3.428		0.99 | 0.005625362030093813

 R   1 G 413    229     220.84       3.37		1.0 | 0.005625362030093813

 R   1 G 414    229    220.896      3.557		1.0 | 0.005625362030093813

 R   1 G 415    229    220.884      3.185		1.0 | 0.005625362030093813

 R   1 G 416    227    220.848       3.09		1.0 | 0.005625362030093813

 R   1 G 417    233    221.012      3.406		0.99 | 0.005625362030093813

 R   1 G 418    229    220.548      3.342		1.0 | 0.005625362030093813

 R   1 G 419    229     220.64      3.518		1.0 | 0.005625362030093813

 R   1 G 420    229    220.716      3.375		1.0 | 0.005625362030093813

 R   1 G 421    229    220.964      3.631		1.0 | 0.005625362030093813

 R   1 G 422    231    220.724      3.576		0.99 | 0.005625362030093813

 R   1 G 423    229    220.736      3.621		0.99 | 0.0

 R   1 G 424    229    220.324      3.949		1.0 | 0.005625362030093813

 R   1 G 425    229     220.32      3.915		1.0 | 0.005625362030093813

 R   1 G 426    231    220.528      3.722		0.99 | 0.005625362030093813

 R   1 G 427    231    220.652      3.648		0.99 | 0.005625362030093813

 R   1 G 428    229    220.576      3.783		1.0 | 0.005625362030093813

 R   1 G 429    229    220.392      3.691		0.99 | 0.005625362030093813

 R   1 G 430    231    220.428      3.899		0.99 | 0.005625362030093813

 R   1 G 431    229    220.584      3.962		0.99 | 0.005625362030093813

 R   1 G 432    229     220.66      3.718		0.99 | 0.005625362030093813

 R   1 G 433    229      220.9      3.527		1.0 | 0.005625362030093813

 R   1 G 434    231    220.532      3.754		0.99 | 0.005625362030093813

 R   1 G 435    231    221.024      3.694		0.99 | 0.0

 R   1 G 436    229    220.896      3.646		0.99 | 0.01

 R   1 G 437    231    220.652      3.762		0.99 | 0.005625362030093813

 R   1 G 438    229    220.564      3.831		0.99 | 0.0

 R   1 G 439    229    220.364      3.872		0.99 | 0.005625362030093813

 R   1 G 440    231    220.584      3.679		0.99 | 0.005625362030093813

 R   1 G 441    231    220.548      3.654		0.99 | 0.005625362030093813

 R   1 G 442    233    220.876      3.673		0.99 | 0.005625362030093813

 R   1 G 443    231    221.144      3.434		0.99 | 0.005625362030093813

 R   1 G 444    231    220.884      3.364		0.99 | 0.005625362030093813

 R   1 G 445    229    220.732      3.481		0.99 | 0.005625362030093813

 R   1 G 446    229     220.66      3.312		1.0 | 0.005625362030093813

 R   1 G 447    229    221.068      3.496		0.99 | 0.005625362030093813

 R   1 G 448    229    220.792      3.489		0.99 | 0.005625362030093813

 R   1 G 449    229    220.564      3.439		1.0 | 0.005625362030093813

 R   1 G 450    229     220.76      3.344		0.99 | 0.0

 R   1 G 451    229    220.696      3.319		1.0 | 0.005625362030093813

 R   1 G 452    229    220.844      3.444		1.0 | 0.005625362030093813

 R   1 G 453    229    220.784      3.426		1.0 | 0.005625362030093813

 R   1 G 454    229     220.74      3.403		1.0 | 0.005625362030093813

 R   1 G 455    231    220.816        3.4		0.99 | 0.005625362030093813

 R   1 G 456    229    221.088      3.361		0.99 | 0.015625362030093813

 R   1 G 457    229    220.484      3.497		1.0 | 0.005625362030093813

 R   1 G 458    233    220.808      3.508		0.99 | 0.005625362030093813

 R   1 G 459    229    220.652      3.458		1.0 | 0.005625362030093813

 R   1 G 460    229    220.852      3.438		1.0 | 0.0

 R   1 G 461    229    220.776      3.474		1.0 | 0.0

 R   1 G 462    229    220.692      3.528		1.0 | 0.005625362030093813

 R   1 G 463    229    220.616      3.411		0.99 | 0.0

 R   1 G 464    229    220.696       3.62		0.99 | 0.01

 R   1 G 465    229     220.76      3.459		1.0 | 0.005625362030093813

 R   1 G 466    231    220.424      3.683		0.99 | 0.0

 R   1 G 467    229    220.704      3.638		1.0 | 0.005625362030093813

 R   1 G 468    229    220.524      3.759		0.99 | 0.0

 R   1 G 469    229    220.732      3.504		1.0 | 0.005625362030093813

 R   1 G 470    229    220.596      3.571		0.99 | 0.0

 R   1 G 471    231    220.504      3.808		0.99 | 0.01

 R   1 G 472    229     220.56      3.486		0.99 | 0.0

 R   1 G 473    233    220.816      3.909		0.99 | 0.01

 R   1 G 474    233    220.652      3.939		0.99 | 0.005625362030093813

 R   1 G 475    231    220.344      3.792		0.99 | 0.005625362030093813

 R   1 G 476    229     220.38      3.658		1.0 | 0.005625362030093813

 R   1 G 477    231    220.376      4.147		0.99 | 0.005625362030093813

 R   1 G 478    229     220.68      3.831		1.0 | 0.005625362030093813

 R   1 G 479    229     220.52      3.873		1.0 | 0.005625362030093813

 R   1 G 480    231    220.508      3.776		0.99 | 0.015625362030093813

 R   1 G 481    229    220.556      3.635		1.0 | 0.005625362030093813

 R   1 G 482    231    220.744      3.493		0.99 | 0.005625362030093813

 R   1 G 483    229    220.372      3.894		0.99 | 0.015625362030093813

 R   1 G 484    229    220.556      3.668		1.0 | 0.005625362030093813

 R   1 G 485    231    220.712      3.639		0.99 | 0.0

 R   1 G 486    229     220.54      3.503		1.0 | 0.005625362030093813

 R   1 G 487    229    220.372       3.63		1.0 | 0.005625362030093813

 R   1 G 488    233    220.684      3.856		0.99 | 0.0

 R   1 G 489    229     220.48      3.661		1.0 | 0.005625362030093813

 R   1 G 490    229    220.908      3.437		1.0 | 0.015625362030093813

 R   1 G 491    231    220.748      3.686		0.99 | 0.0

 R   1 G 492    229    220.604      3.592		1.0 | 0.0

 R   1 G 493    233    220.552       3.62		0.99 | 0.0

 R   1 G 494    231     220.82      3.688		0.99 | 0.005625362030093813

 R   1 G 495    231    220.624      3.507		0.99 | 0.0

 R   1 G 496    229    220.868      3.627		1.0 | 0.005625362030093813

 R   1 G 497    231    220.208      3.576		0.99 | 0.005625362030093813

 R   1 G 498    231    220.528      3.872		0.99 | 0.005625362030093813

 R   1 G 499    229      220.6      3.911		0.99 | 0.005625362030093813

1      0###################### RawFitness
           0          0          235

 R   2 G   0    233    202.572     11.693		0.8714545081936167 | 0.2615744883693266

 R   2 G   1    229    203.148      11.42		0.6927660111160437 | 0.6871767320380774

 R   2 G   2    237    204.736      11.34		0.7013777679352969 | 0.9254354377095267

 R   2 G   3    231     206.08      11.82		0.9359744299829377 | 0.3436023461843779

 R   2 G   4    233    207.756     10.692		0.6924033488926886 | 0.24228039950486047

 R   2 G   5    233    209.304     10.255		0.7497632298148822 | 0.03634178225042173

 R   2 G   6    235    211.568      9.107		0.7497632298148822 | 0.03634178225042173

 R   2 G   7    233    211.324       8.89		0.8918715096460237 | 0.19564550768437483

 R   2 G   8    233    213.148      8.483		0.9422280723364089 | 0.16562116200170107

 R   2 G   9    235     213.36       8.48		0.9422280723364089 | 0.16562116200170107

 R   2 G  10    233    214.812      7.352		0.9692604836264668 | 0.07258126744207472

 R   2 G  11    229    214.904      7.228		0.9422280723364089 | 0.16562116200170107

 R   2 G  12    233     214.54      7.085		0.8530550703516341 | 0.0036161908680896193

 R   2 G  13    233    215.444      6.413		0.8530550703516341 | 0.0036161908680896193

 R   2 G  14    237    215.664      6.509		0.8530550703516341 | 0.0036161908680896193

 R   2 G  15    233    215.532      6.545		0.8530550703516341 | 0.0036161908680896193

 R   2 G  16    233    216.032      6.052		0.8530550703516341 | 0.0036161908680896193

 R   2 G  17    235    216.224      6.373		0.8530550703516341 | 0.0036161908680896193

 R   2 G  18    231    215.936      6.515		0.9786898930111523 | 0.15774388330968903

 R   2 G  19    233    216.008      6.759		0.8530550703516341 | 0.0036161908680896193

 R   2 G  20    233    216.684      6.136		0.8530550703516341 | 0.0036161908680896193

 R   2 G  21    231    215.756      6.392		0.9686898930111523 | 0.15774388330968903

 R   2 G  22    231    216.472      6.305		0.9786898930111523 | 0.15774388330968903

 R   2 G  23    233    216.824      6.503		0.9786898930111523 | 0.15774388330968903

 R   2 G  24    233    216.128      6.498		0.8530550703516341 | 0.0036161908680896193

 R   2 G  25    235    216.184      6.678		0.8630550703516341 | 0.0036161908680896193

 R   2 G  26    233    216.532      6.595		0.8530550703516341 | 0.0036161908680896193

 R   2 G  27    235    216.196      6.576		0.8530550703516341 | 0.0036161908680896193

 R   2 G  28    231    216.752      6.043		0.8530550703516341 | 0.0036161908680896193

 R   2 G  29    229    216.668      6.224		0.9786898930111523 | 0.15774388330968903

 R   2 G  30    233    216.684      6.149		0.8530550703516341 | 0.0036161908680896193

 R   2 G  31    233     216.78      5.996		0.9786898930111523 | 0.15774388330968903

 R   2 G  32    229     217.18      5.542		0.9786898930111523 | 0.15774388330968903

 R   2 G  33    231    216.584      6.045		0.9786898930111523 | 0.15774388330968903

 R   2 G  34    235    217.208      5.577		0.9786898930111523 | 0.15774388330968903

 R   2 G  35    233    217.044      6.082		0.9786898930111523 | 0.15774388330968903

 R   2 G  36    227     216.28      5.888		0.9786898930111523 | 0.15774388330968903

 R   2 G  37    231     217.06      5.585		0.9786898930111523 | 0.15774388330968903

 R   2 G  38    231    216.876      5.869		0.9786898930111523 | 0.15774388330968903

 R   2 G  39    231    216.852       5.87		0.9786898930111523 | 0.15774388330968903

 R   2 G  40    231    217.036      5.945		0.9786898930111523 | 0.15774388330968903

 R   2 G  41    229    216.652      5.752		0.9786898930111523 | 0.15774388330968903

 R   2 G  42    231    216.724      5.852		0.9786898930111523 | 0.15774388330968903

 R   2 G  43    231    216.592      6.316		0.9686898930111523 | 0.15774388330968903

 R   2 G  44    231    216.524      5.701		0.9786898930111523 | 0.15774388330968903

 R   2 G  45    231     217.32      5.694		0.9686898930111523 | 0.15774388330968903

 R   2 G  46    229    216.408      6.074		0.9786898930111523 | 0.15774388330968903

 R   2 G  47    235    216.808      5.703		0.9686898930111523 | 0.15774388330968903

 R   2 G  48    231    216.804      6.115		0.9786898930111523 | 0.15774388330968903

 R   2 G  49    229    216.968      5.864		0.9786898930111523 | 0.15774388330968903

 R   2 G  50    229    216.828       5.73		0.9786898930111523 | 0.15774388330968903

 R   2 G  51    233    216.672      6.175		0.9786898930111523 | 0.15774388330968903

 R   2 G  52    229    216.588      5.805		0.9686898930111523 | 0.15774388330968903

 R   2 G  53    233    217.316      5.646		0.9786898930111523 | 0.15774388330968903

 R   2 G  54    231    217.088      5.666		0.9786898930111523 | 0.15774388330968903

 R   2 G  55    229    216.668      6.098		0.9786898930111523 | 0.15774388330968903

 R   2 G  56    229    216.768      5.868		0.9686898930111523 | 0.15774388330968903

 R   2 G  57    229     216.52      5.555		0.9786898930111523 | 0.15774388330968903

 R   2 G  58    231    216.872      5.886		0.9786898930111523 | 0.15774388330968903

 R   2 G  59    231      216.8      6.309		0.9786898930111523 | 0.16774388330968903

 R   2 G  60    231    217.012      5.872		0.9786898930111523 | 0.15774388330968903

 R   2 G  61    231     217.16      5.826		0.9886898930111523 | 0.15774388330968903

 R   2 G  62    233    216.852       5.63		0.9786898930111523 | 0.15774388330968903

 R   2 G  63    231    216.924      5.819		0.9886898930111523 | 0.15774388330968903

 R   2 G  64    227    216.876      5.628		0.9786898930111523 | 0.15774388330968903

 R   2 G  65    231    217.176      5.901		0.9786898930111523 | 0.16774388330968903

 R   2 G  66    231    216.736      5.906		0.9686898930111523 | 0.15774388330968903

 R   2 G  67    231    216.668      5.953		0.9686898930111523 | 0.15774388330968903

 R   2 G  68    231    217.104      5.482		0.9786898930111523 | 0.15774388330968903

 R   2 G  69    229    216.864      5.604		0.9786898930111523 | 0.15774388330968903

 R   2 G  70    229    216.776       6.12		0.9786898930111523 | 0.15774388330968903

 R   2 G  71    231     216.58      5.934		0.9686898930111523 | 0.15774388330968903
