Experiment ID                :  IteratedPrisonersDilemma
Problem Type                 :  IPD
Data Input File Name         :  indata.IPD.txt
Number of Runs               :  100
Generations per Run          :  100
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  0
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.1
Random Number Seed           :  75982
Number of Genes/Points       :  2
Size of Genes                :  1


 R   1 G   0    348     205.64     73.431		0.10070556186895041 | 0.06107305562731147
 R   4 G  24    322     213.52      69.33		0.4524256035666373 | 0.4150718041381437

 R   4 G  25    304      217.8     66.805		0.4524256035666373 | 0.4350718041381437

 R   4 G  26    316     214.76     64.233		0.4524256035666373 | 0.4350718041381437

 R   4 G  27    296     196.98     70.743		0.6288766509988367 | 0.7201789868993871

 R   4 G  28    296     201.82     67.982		0.6388766509988367 | 0.7101789868993871

 R   4 G  29    316     222.16     67.306		0.4524256035666373 | 0.4350718041381437

 R   4 G  30    316     213.66     71.701		0.4424256035666373 | 0.4150718041381437

 R   4 G  31    318     210.88      71.77		0.4524256035666373 | 0.4350718041381437

 R   4 G  32    310     211.96     68.734		0.4424256035666373 | 0.4150718041381437

 R   4 G  33    310     218.84     66.914		0.4524256035666373 | 0.44507180413814373

 R   4 G  34    298     198.44     71.945		0.6488766509988367 | 0.7101789868993871

 R   4 G  35    302      191.4     76.678		0.6288766509988367 | 0.7201789868993871

 R   4 G  36    304     203.84     79.221		0.6288766509988367 | 0.7201789868993871

 R   4 G  37    298     202.88     72.289		0.6188766509988367 | 0.7301789868993871

 R   4 G  38    298     204.76     72.739		0.6288766509988367 | 0.7101789868993871

 R   4 G  39    300     204.56      70.52		0.6288766509988367 | 0.7001789868993871

 R   4 G  40    306     196.86     74.394		0.6088766509988367 | 0.7101789868993871

 R   4 G  41    302     205.38     75.669		0.6288766509988367 | 0.7001789868993871

 R   4 G  42    298     212.48     69.514		0.6488766509988367 | 0.6901789868993871

 R   4 G  43    302     204.46     66.898		0.6388766509988367 | 0.6901789868993871

 R   4 G  44    304     216.56     65.541		0.6288766509988367 | 0.7001789868993871

 R   4 G  45    298     199.24     77.368		0.6488766509988367 | 0.7001789868993871

 R   4 G  46    298      209.4     75.634		0.6188766509988367 | 0.7001789868993871

 R   4 G  47    302     218.68     70.094		0.6488766509988367 | 0.6901789868993871

 R   4 G  48    298     208.16     69.778		0.6588766509988367 | 0.7001789868993871

 R   4 G  49    294     198.54     69.753		0.6288766509988367 | 0.7001789868993871

 R   4 G  50    302     203.34     76.187		0.6388766509988367 | 0.7001789868993871

 R   4 G  51    302     204.62     71.018		0.6388766509988367 | 0.6901789868993871

 R   4 G  52    300     206.64     74.951		0.6388766509988367 | 0.6901789868993871

 R   4 G  53    302     219.36     63.526		0.6288766509988367 | 0.7001789868993871

 R   4 G  54    294     212.44     74.749		0.6288766509988367 | 0.7101789868993871

 R   4 G  55    302     199.42     81.288		0.6488766509988367 | 0.6901789868993871

 R   4 G  56    296     214.46     65.622		0.6188766509988367 | 0.7001789868993871

 R   4 G  57    302     200.94     74.078		0.6388766509988367 | 0.7101789868993871

 R   4 G  58    298     215.82     75.572		0.6488766509988367 | 0.6901789868993871

 R   4 G  59    300      210.9     68.841		0.6688766509988368 | 0.670178986899387

 R   4 G  60    306     193.16     76.052		0.6388766509988367 | 0.6901789868993871

 R   4 G  61    308      198.1     76.974		0.6288766509988367 | 0.7101789868993871

 R   4 G  62    296     201.94     76.401		0.6588766509988367 | 0.6901789868993871

 R   4 G  63    302     205.72      72.22		0.6388766509988367 | 0.6901789868993871

 R   4 G  64    300      206.5     75.869		0.6388766509988367 | 0.7201789868993871

 R   4 G  65    300     203.94     75.884		0.6388766509988367 | 0.7201789868993871

 R   4 G  66    298     206.52     69.947		0.6488766509988367 | 0.6901789868993871

 R   4 G  67    296     216.32      66.91		0.6388766509988367 | 0.6901789868993871

 R   4 G  68    298     198.24     74.688		0.6288766509988367 | 0.7001789868993871

 R   4 G  69    296     190.94     73.386		0.6288766509988367 | 0.680178986899387

 R   4 G  70    308     210.26     72.019		0.6288766509988367 | 0.6901789868993871

 R   4 G  71    300     211.38     72.279		0.6388766509988367 | 0.6901789868993871

 R   4 G  72    300     205.52     75.205		0.6288766509988367 | 0.6901789868993871

 R   4 G  73    298     204.88     73.428		0.6388766509988367 | 0.6901789868993871

 R   4 G  74    296      208.3      72.96		0.6388766509988367 | 0.680178986899387

 R   4 G  75    296     203.52     69.567		0.6288766509988367 | 0.6901789868993871

 R   4 G  76    312      201.0     78.651		0.6388766509988367 | 0.680178986899387

 R   4 G  77    298     198.68     76.386		0.6388766509988367 | 0.680178986899387

 R   4 G  78    296     195.32     71.805		0.6188766509988367 | 0.6901789868993871

 R   4 G  79    302     200.58     75.271		0.6288766509988367 | 0.670178986899387

 R   4 G  80    300     196.82     79.315		0.6488766509988367 | 0.680178986899387

 R   4 G  81    298     187.76     79.066		0.6288766509988367 | 0.6901789868993871

 R   4 G  82    300     212.92       73.1		0.6388766509988367 | 0.6901789868993871

 R   4 G  83    298     211.32     73.466		0.6388766509988367 | 0.6901789868993871

 R   4 G  84    298      207.2     69.803		0.6388766509988367 | 0.6901789868993871

 R   4 G  85    294     208.04     72.373		0.6588766509988367 | 0.680178986899387

 R   4 G  86    300      197.1     76.214		0.6388766509988367 | 0.6901789868993871

 R   4 G  87    296     210.12       71.2		0.6388766509988367 | 0.6901789868993871

 R   4 G  88    298      195.0     80.483		0.6288766509988367 | 0.670178986899387

 R   4 G  89    304     209.58     77.937		0.6188766509988367 | 0.660178986899387

 R   4 G  90    304     216.46      63.99		0.6388766509988367 | 0.6901789868993871

 R   4 G  91    298     198.94     72.766		0.6288766509988367 | 0.6901789868993871

 R   4 G  92    304     215.06     70.518		0.6288766509988367 | 0.6901789868993871

 R   4 G  93    302     224.46      63.91		0.6388766509988367 | 0.7001789868993871

 R   4 G  94    296     206.44     69.835		0.6288766509988367 | 0.7001789868993871

 R   4 G  95    304      199.3     79.204		0.6488766509988367 | 0.6901789868993871

 R   4 G  96    296     216.24     61.957		0.6188766509988367 | 0.660178986899387

 R   4 G  97    298     214.44     68.299		0.6188766509988367 | 0.6901789868993871

 R   4 G  98    300     204.56     78.522		0.6388766509988367 | 0.6901789868993871

 R   4 G  99    300      213.8     68.003		0.6188766509988367 | 0.7001789868993871

4      4###################### RawFitness
           0          0          346

 R   5 G   0    350     203.36     68.357		0.032353299211891895 | 0.7949963697912448

 R   5 G   1    348      209.0     61.169		0.03997082183544065 | 0.6304310412184264

 R   5 G   2    348     207.06     72.384		0.03997082183544065 | 0.6304310412184264

 R   5 G   3    350     212.22      65.72		0.03997082183544065 | 0.6304310412184264

 R   5 G   4    350     209.24     64.489		0.02997082183544065 | 0.6304310412184264

 R   5 G   5    290     197.94     68.105		0.6337578510057491 | 0.1628230633889487

 R   5 G   6    286     205.56     61.263		0.7056133415934802 | 0.6609488571502531

 R   5 G   7    340     210.18     66.183		0.04997082183544065 | 0.6404310412184264

 R   5 G   8    348     205.26     69.178		0.04997082183544065 | 0.6404310412184264

 R   5 G   9    288     202.74     68.161		0.7056133415934802 | 0.6609488571502531

 R   5 G  10    298     204.26     66.678		0.6237578510057491 | 0.1728230633889487

 R   5 G  11    290      208.8     62.015		0.7056133415934802 | 0.6609488571502531

 R   5 G  12    288     222.46     50.302		0.6337578510057491 | 0.1728230633889487

 R   5 G  13    294      201.4     59.891		0.7678864884804423 | 0.13409794733610256

 R   5 G  14    300     219.86     50.227		0.6237578510057491 | 0.18282306338894871

 R   5 G  15    296      203.8     55.858		0.6437578510057491 | 0.1728230633889487

 R   5 G  16    288     206.76     53.154		0.7156133415934802 | 0.6509488571502531

 R   5 G  17    284     207.06     49.941		0.6237578510057491 | 0.19282306338894872

 R   5 G  18    284     208.74     53.508		0.6537578510057491 | 0.1728230633889487

 R   5 G  19    286     211.92     56.702		0.7778864884804423 | 0.12409794733610256

 R   5 G  20    284     209.68     53.496		0.7678864884804423 | 0.12409794733610256

 R   5 G  21    280      206.9     53.016		0.7256133415934802 | 0.6409488571502531

 R   5 G  22    282     215.62     47.718		0.7678864884804423 | 0.12409794733610256

 R   5 G  23    284      200.3     52.079		0.7478864884804423 | 0.10409794733610257

 R   5 G  24    286     212.42     50.291		0.7478864884804423 | 0.10409794733610257

 R   5 G  25    290     210.82     52.491		0.7678864884804423 | 0.13409794733610256

 R   5 G  26    290     213.08     47.167		0.7778864884804423 | 0.11409794733610257

 R   5 G  27    286     219.28     51.024		0.7678864884804423 | 0.11409794733610257

 R   5 G  28    286     217.94      47.96		0.7678864884804423 | 0.13409794733610256

 R   5 G  29    282     212.28     49.162		0.7778864884804423 | 0.10409794733610257

 R   5 G  30    276     205.68     50.927		0.7678864884804423 | 0.14409794733610257

 R   5 G  31    276     205.32     48.805		0.7678864884804423 | 0.14409794733610257

 R   5 G  32    284     214.52     48.059		0.7678864884804423 | 0.14409794733610257

 R   5 G  33    294     215.68     51.996		0.7678864884804423 | 0.11409794733610257

 R   5 G  34    284     204.92     53.143		0.7678864884804423 | 0.12409794733610256

 R   5 G  35    286     213.04      50.35		0.7778864884804423 | 0.12409794733610256

 R   5 G  36    286      217.9     51.756		0.7678864884804423 | 0.10409794733610257

 R   5 G  37    276      215.4     49.135		0.7578864884804423 | 0.13409794733610256

 R   5 G  38    286      214.7     48.439		0.7778864884804423 | 0.12409794733610256

 R   5 G  39    288      219.9     49.574		0.7678864884804423 | 0.15409794733610258

 R   5 G  40    288     211.42     50.554		0.7578864884804423 | 0.13409794733610256

 R   5 G  41    280     213.38     54.132		0.7578864884804423 | 0.14409794733610257

 R   5 G  42    288     207.94     49.785		0.7578864884804423 | 0.13409794733610256

 R   5 G  43    288      216.8     47.999		0.7678864884804423 | 0.15409794733610258

 R   5 G  44    290      208.4       52.6		0.7478864884804423 | 0.14409794733610257

 R   5 G  45    286     203.18     50.909		0.7478864884804423 | 0.13409794733610256

 R   5 G  46    286     221.86     53.377		0.7578864884804423 | 0.14409794733610257

 R   5 G  47    290      212.5     50.708		0.7778864884804423 | 0.15409794733610258

 R   5 G  48    290     217.64     51.497		0.7378864884804422 | 0.13409794733610256

 R   5 G  49    286     211.06     51.628		0.7478864884804423 | 0.12409794733610256

 R   5 G  50    280     213.58     52.051		0.7478864884804423 | 0.14409794733610257

 R   5 G  51    290     213.38      50.84		0.7478864884804423 | 0.12409794733610256

 R   5 G  52    288     213.44     49.439		0.7578864884804423 | 0.16409794733610258

 R   5 G  53    280     211.88     49.115		0.7678864884804423 | 0.14409794733610257

 R   5 G  54    282      228.5     44.807		0.7678864884804423 | 0.13409794733610256

 R   5 G  55    282     209.94     50.841		0.7378864884804422 | 0.11409794733610257

 R   5 G  56    286     208.64     52.094		0.7378864884804422 | 0.12409794733610256

 R   5 G  57    294     216.36      49.87		0.7378864884804422 | 0.12409794733610256

 R   5 G  58    288     212.78     51.049		0.7678864884804423 | 0.13409794733610256

 R   5 G  59    288      210.6     50.756		0.7478864884804423 | 0.12409794733610256

 R   5 G  60    290     220.66     48.003		0.7678864884804423 | 0.13409794733610256

 R   5 G  61    282     205.88     52.368		0.7678864884804423 | 0.14409794733610257

 R   5 G  62    286     218.96     47.391		0.7478864884804423 | 0.12409794733610256

 R   5 G  63    282     212.42     50.688		0.7578864884804423 | 0.14409794733610257

 R   5 G  64    286      211.8     52.267		0.7578864884804423 | 0.15409794733610258

 R   5 G  65    286      221.1     49.532		0.7678864884804423 | 0.15409794733610258

 R   5 G  66    282     213.32     46.328		0.7778864884804423 | 0.15409794733610258

 R   5 G  67    286      213.4     52.768		0.7578864884804423 | 0.15409794733610258

 R   5 G  68    286     214.56     54.739		0.7478864884804423 | 0.15409794733610258

 R   5 G  69    290     207.74     52.106		0.7578864884804423 | 0.15409794733610258

 R   5 G  70    292     207.72     55.266		0.7578864884804423 | 0.15409794733610258

 R   5 G  71    282     214.12     47.037		0.7778864884804423 | 0.14409794733610257

 R   5 G  72    286     204.12     52.208		0.7678864884804423 | 0.16409794733610258

 R   5 G  73    288     202.26     53.978		0.7678864884804423 | 0.14409794733610257

 R   5 G  74    290     198.76     52.177		0.7778864884804423 | 0.16409794733610258

 R   5 G  75    292     212.06     49.378		0.7578864884804423 | 0.14409794733610257

 R   5 G  76    286     212.16     52.873		0.7578864884804423 | 0.16409794733610258

 R   5 G  77    288     213.62     48.189		0.7578864884804423 | 0.16409794733610258

 R   5 G  78    280     206.16     49.975		0.7478864884804423 | 0.14409794733610257

 R   5 G  79    282     209.04     47.292		0.7478864884804423 | 0.15409794733610258

 R   5 G  80    294     212.78     51.795		0.7578864884804423 | 0.16409794733610258

 R   5 G  81    282     206.56     54.266		0.7778864884804423 | 0.15409794733610258

 R   5 G  82    294     210.96       48.9		0.7478864884804423 | 0.15409794733610258

 R   5 G  83    284     200.14     50.872		0.7778864884804423 | 0.16409794733610258

 R   5 G  84    284     209.82     51.332		0.7978864884804423 | 0.11409794733610257

 R   5 G  85    290     205.52     48.841		0.7878864884804423 | 0.11409794733610257

 R   5 G  86    284     213.12     52.322		0.7678864884804423 | 0.16409794733610258

 R   5 G  87    282     213.38     49.405		0.7378864884804422 | 0.15409794733610258

 R   5 G  88    286      216.7     51.403		0.7478864884804423 | 0.15409794733610258

 R   5 G  89    286     222.96     48.702		0.7378864884804422 | 0.15409794733610258

 R   5 G  90    282     209.32     52.558		0.7778864884804423 | 0.10409794733610257

 R   5 G  91    284     215.84     48.359		0.7378864884804422 | 0.15409794733610258

 R   5 G  92    282     210.36     49.561		0.7978864884804423 | 0.15409794733610258

 R   5 G  93    280     205.84     47.355		0.7778864884804423 | 0.14409794733610257

 R   5 G  94    284     220.28     48.622		0.7478864884804423 | 0.15409794733610258

 R   5 G  95    288     219.08     50.268		0.7478864884804423 | 0.15409794733610258

 R   5 G  96    288     210.26     51.034		0.7478864884804423 | 0.15409794733610258

 R   5 G  97    286     206.26     47.669		0.7478864884804423 | 0.15409794733610258

 R   5 G  98    282     209.36     50.571		0.7378864884804422 | 0.14409794733610257

 R   5 G  99    284     214.54     49.089		0.7478864884804423 | 0.14409794733610257

5      0###################### RawFitness
           0          0          350

 R   6 G   0    332      204.0     67.139		0.201973005272435 | 0.8901055095620807

 R   6 G   1    350     212.38     64.008		0.002519036510874262 | 0.9740484195726963

 R   6 G   2    344      198.8     70.546		0.1001533362818241 | 0.5139906866833406

 R   6 G   3    334     203.68     63.399		0.1001533362818241 | 0.5139906866833406

 R   6 G   4    346     215.08     70.643		0.1001533362818241 | 0.5139906866833406

 R   6 G   5    348     212.92     61.656		0.0901533362818241 | 0.5239906866833406

 R   6 G   6    340     212.14     67.698		0.1001533362818241 | 0.5039906866833406

 R   6 G   7    338     220.76     62.059		0.201973005272435 | 0.8901055095620807

 R   6 G   8    338     210.24      68.87		0.191973005272435 | 0.8901055095620807

 R   6 G   9    332     207.86     68.823		0.201973005272435 | 0.8901055095620807

 R   6 G  10    336     202.22      68.36		0.191973005272435 | 0.8901055095620807

 R   6 G  11    334     213.08     70.236		0.18197300527243498 | 0.8901055095620807

 R   6 G  12    336     216.76     70.921		0.201973005272435 | 0.8901055095620807

 R   6 G  13    342     215.82     78.664		0.18197300527243498 | 0.8801055095620807

 R   6 G  14    342     200.02     82.101		0.18197300527243498 | 0.8901055095620807

 R   6 G  15    340     208.96      79.36		0.18197300527243498 | 0.8901055095620807

 R   6 G  16    338     213.24     72.798		0.17197300527243498 | 0.8901055095620807

 R   6 G  17    342      199.4     78.127		0.17197300527243498 | 0.8801055095620807

 R   6 G  18    338      209.8     56.744		0.16197300527243497 | 0.8801055095620807

 R   6 G  19    340     213.34     67.478		0.18197300527243498 | 0.9001055095620807

 R   6 G  20    334     204.56     74.765		0.18197300527243498 | 0.8901055095620807

 R   6 G  21    340      207.5     74.443		0.18197300527243498 | 0.8901055095620807

 R   6 G  22    344     201.14     80.777		0.17197300527243498 | 0.8801055095620807

 R   6 G  23    336     203.64     78.625		0.18197300527243498 | 0.8801055095620807

 R   6 G  24    336     199.78     73.204		0.17197300527243498 | 0.8801055095620807

 R   6 G  25    286     199.74     77.236		0.7235245380048677 | 0.29721311396459005

 R   6 G  26    282     202.92     72.311		0.7879196807600928 | 0.805338116633208
